id,optimization,generation,hash,hash,elapsed_time,age,evaluation_status,evaluation_year,evaluation_start_time,tree,error_string,pickle,"FullDataSet False Positives","FullDataSet False Negatives","FullDataSet Num Elements"
14,0,4,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
15,0,4,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
16,0,5,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,786.134,0,NOT_EVALUATED,0,"2020-03-05 04:30:13","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,18.8,19,35
17,0,5,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
18,0,5,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
19,0,5,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
20,0,6,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,786.134,0,NOT_EVALUATED,0,"2020-03-05 04:30:13","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,18.8,19,35
21,0,6,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
22,0,6,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
23,0,6,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,234.486,1,EVALUATED,5,"2020-03-05 05:18:26","AdaBoostLearner(ARG0, learnerType('Bayes', None), myIntAdd(3, ifThenElseBool(trueBool, falseBool, falseBool)), myFloatDiv(0.1, 0.1))",NULL,...,22.8,22,24
